Date/Time,Word Count,en,fr,fr-FR
2019.11.07-17.27.22,946,946,0,0
2019.11.07-17.36.46,0,0,0,0
2019.11.07-17.38.14,946,946,0,0
2019.11.07-17.40.19,946,946,3,0
2019.11.07-17.52.54,946,946,87,0
2019.11.07-18.06.31,946,946,185,0
2019.11.07-18.12.14,946,946,207,0
2019.11.07-18.15.26,946,946,212,0
2019.11.07-18.17.38,946,946,213,0
2019.11.07-18.22.51,946,946,232,0
2019.11.07-18.32.20,946,946,240,0
2019.11.07-18.40.09,946,946,257,0
2019.11.07-18.45.00,946,946,271,0
2019.11.07-19.05.31,1005,1005,271,0
2019.11.07-19.10.17,1005,1005,310,0
2019.11.07-19.12.54,1005,1005,317,0
2019.11.07-19.20.11,1005,1005,325,0
2019.11.08-15.17.18,992,992,316,0
2019.11.08-15.22.31,992,992,315,0
2019.11.08-15.31.21,992,992,311,0
2019.11.08-15.42.43,992,992,300,0
2019.11.08-15.47.33,992,992,310,0
2019.11.08-21.08.19,1001,1001,323,0
2019.11.10-00.51.05,1002,1002,321,0
2019.11.14-21.31.34,1018,1018,321,0
2019.11.14-21.33.42,1018,1018,327,0
2019.11.15-14.47.06,1025,1025,327,0
2019.11.21-22.28.56,1077,1077,327,0
2020.01.30-15.54.58,1254,1254,327,0
2020.01.30-16.05.21,1254,1254,329,0
2020.01.30-16.08.38,1254,1254,327,0
2020.04.20-19.21.28,1756,1756,302,0
2020.04.20-19.36.26,1756,1756,328,0
2020.05.12-17.22.35,1773,1773,326,0
